Institution,Longitude,Latitude
Alabama A & M University,-86.568502,34.783367999999996
University of Alabama at Birmingham,-86.799345,33.505697
Amridge University,-86.17401,32.362609
University of Alabama in Huntsville,-86.640449,34.724557
Alabama State University,-86.295677,32.364317
University of Alabama System Office,-87.52959399999999,33.207015000000006
The University of Alabama,-87.545978,33.211875
Central Alabama Community College,-85.945266,32.92478
Athens State University,-86.964698,34.806793
Auburn University at Montgomery,-86.177544,32.36736
Auburn University,-85.488258,32.599378
Birmingham Southern College,-86.85055200000001,33.513774
Chattahoochee Valley Community College,-85.031485,32.42391
Concordia College Alabama,-87.019145,32.425647
South University-Montgomery,-86.216488,32.342684000000006
Enterprise State Community College,-85.836956,31.297496000000002
Coastal Alabama Community College,-87.778193,30.851343
Faulkner University,-86.21641,32.384181
Gadsden State Community College,-85.991438,33.994001000000004
New Beginning College of Cosmetology,-86.196931,34.27871
George C Wallace Community College-Dothan,-85.465836,31.315274
George C Wallace State Community College-Hanceville,-86.781935,34.072439
George C Wallace State Community College-Selma,-87.01329399999999,32.445917
Herzing University-Birmingham,-86.832465,33.468466
Huntingdon College,-86.284366,32.351034000000006
Heritage Christian University,-87.663051,34.856153000000006
J. F. Drake State Community and Technical College,-86.572885,34.771858
J F Ingram State Technical College,-86.39236899999999,32.582312
Jacksonville State University,-85.765321,33.822938
Jefferson Davis Community College,-87.08534,31.101253999999997
Jefferson State Community College,-86.707233,33.652535
John C Calhoun State Community College,-86.949674,34.645844
Judson College,-87.315206,32.629253000000006
Lawson State Community College-Birmingham Campus,-86.88884399999999,33.450814
University of West Alabama,-88.186329,32.588132
Lurleen B Wallace Community College,-86.452262,31.322946999999996
Marion Military Institute,-87.322041,32.623734000000006
Miles College,-86.908751,33.482442
University of Mobile,-88.128934,30.793246999999997
University of Montevallo,-86.865099,33.10625
Northwest-Shoals Community College,-87.678089,34.739788
University of North Alabama,-87.681361,34.806738
Northeast Alabama Community College,-85.911664,34.545471
Oakwood University,-86.65270500000001,34.756344
Alabama Southern Community College,-87.326352,31.488925
Prince Institute-Southeast,-86.162237,32.383106
Reid State Technical College,-86.96479699999999,31.460265000000003
Bishop State Community College,-88.05698199999999,30.693972
Samford University,-86.791799,33.464128
Selma University,-87.032392,32.420387
Shelton State Community College,-87.56148,33.120531
Snead State Community College,-86.16989699999999,34.201495
University of South Alabama,-88.17871099999999,30.696033
Spring Hill College,-88.138199,30.694751
Southeastern Bible College,-86.749045,33.378935
Stillman College,-87.585278,33.200006
Talladega College,-86.11270400000001,33.433471999999995
H Councill Trenholm State Community College,-86.343057,32.350109
Troy University,-85.957094,31.800672
Tuskegee University,-85.708492,32.4309
United States Sports Academy,-87.91163,30.639328999999996
Bevill State Community College,-87.266406,33.836929
University of Alaska Anchorage,-149.82619,61.190163
Alaska Bible College,-149.111972,61.598553
University of Alaska Fairbanks,-147.823146,64.85755999999999
University of Alaska Southeast,-134.63825500000002,58.384845999999996
Alaska Pacific University,-149.804168,61.190968000000005
AVTEC-Alaska's Institute of Technology,-149.444487,60.110626
Charter College,-122.494766,45.617798
Alaska Career College,-149.856954,61.181443
University of Alaska System of Higher Education,-147.84896899999998,64.857516
Empire Beauty School-Tucson,-110.92718700000002,32.235657
Thunderbird School of Global Management,-112.18086100000001,33.620886999999996
American Institute of Trucking,-112.162577,33.426691999999996
Carrington College-Phoenix North,-112.116105,33.561689
Carrington College-Mesa,-111.853218,33.39248
Carrington College-Tucson,-110.983056,32.224391
CollegeAmerica-Flagstaff,-111.657673,35.194495
Arizona Academy of Beauty-East,-110.87230500000001,32.237253
Arizona Automotive Institute,-112.157344,33.537248999999996
